StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Student,Major,Country,Age,Trustworthy1,Trustworthy2,Trustworthy3,Trustworthy4,Trustworthy5,Trustworthy6,Trustworthy7,Trustworthy8,Trustworthy9,Trustworthy10,Trustworthy11,Trustworthy12,Trustworthy13,Trustworthy14,Trust15,Trust16,Trust17,Trust18,Trust19,Trust20,Trust21,ContactID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Student Level,Major,Country of Origin,Age,Trustworthy,Trustworthy,Trustworthy,Trustworthy,Trustworthy,Trustworthy,Trustworthy,Trustworthy,Trustworthy,Trustworthy,Trustworthy,Trustworthy,Trustworthy,Trustworthy,Trust,Trust,Trust,Trust,Trust,Trust,Trust,ContactID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""ContactID""}"
2022-04-20 18:21:17,2022-04-20 18:28:04,0,134.197.0.149,100,406,1,2022-04-20 18:28:04,R_1r1cp7KwyX89ld6,,,,,39.5473,-119.7951,qr,EN,1,,1,1,3,4,5,4,4,4,4,4,5,5,5,4,4,4,3,2,2,2,3,2,2,5535
2022-04-21 10:10:02,2022-04-21 10:12:36,0,134.197.0.22,100,153,1,2022-04-21 10:12:36,R_12hFeqnBUR5Rg3k,,,,,39.5381,-119.8365,qr,EN,1,1,1,1,5,5,5,5,4,5,3,4,5,5,5,4,4,4,2,4,1,2,2,4,5,3528
2022-04-20 18:07:06,2022-04-20 18:09:18,0,174.208.162.18,93,131,0,2022-04-21 10:36:47,R_22EQ1q8gVHJzZ9T,,,,,,,qr,EN,1,,1,1,5,5,5,5,4,4,4,5,4,5,5,5,5,5,3,2,1,1,2,2,4,8465
2022-04-20 18:39:15,2022-04-20 18:43:36,0,134.197.0.148,93,261,0,2022-04-21 10:36:49,R_1LIgGq9gxLLqaV7,,,,,,,qr,EN,1,2,1,1,3,4,5,5,4,4,3,3,4,4,5,4,4,4,3,5,3,3,3,4,3,2545
2022-04-20 17:45:56,2022-04-20 17:55:01,0,134.197.0.22,93,544,0,2022-04-21 10:36:52,R_3lsixGkZ4DaUikw,,,,,,,qr,EN,1,2,1,2,4,4,5,4,4,4,4,4,5,4,5,4,3,4,4,5,4,4,3,3,4,9400
2022-04-19 09:48:22,2022-04-19 09:49:42,0,134.197.0.148,93,79,0,2022-04-21 10:36:53,R_1cUJAaEr2gZTJyY,,,,,,,qr,EN,1,2,1,4,5,4,5,5,4,5,4,5,2,4,4,5,1,5,2,1,1,1,2,2,4,2158
2022-04-19 09:25:55,2022-04-19 09:27:21,0,134.197.0.150,93,86,0,2022-04-21 10:37:08,R_1Nrj5CvXi0VvjIz,,,,,,,qr,EN,1,2,1,1,4,4,5,4,4,3,2,3,5,4,5,4,3,2,3,4,2,3,4,3,4,6371
2022-04-21 10:45:43,2022-04-21 10:48:59,0,134.197.0.21,100,195,1,2022-04-21 10:49:00,R_3R3IZK0XRYVu1i4,,,,,39.5381,-119.8365,qr,EN,1,,1,1,4,1,5,5,4,3,4,2,3,5,1,5,2,5,1,2,1,1,3,2,4,6217
2022-04-21 11:09:33,2022-04-21 11:11:17,0,134.197.0.150,100,103,1,2022-04-21 11:11:17,R_3Miii2EeM9EoLjJ,,,,,39.5473,-119.7951,qr,EN,1,2,1,1,4,3,4,4,3,4,4,3,4,5,5,5,4,5,2,4,2,2,4,2,4,4475
2022-04-21 11:40:21,2022-04-21 11:49:31,0,134.197.0.150,100,550,1,2022-04-21 11:49:32,R_295iLZ5HdXNBVqe,,,,,39.5473,-119.7951,qr,EN,1,2,1,1,3,4,4,5,4,3,3,4,3,2,3,3,2,3,4,4,3,4,3,4,3,8545
2022-04-21 12:19:29,2022-04-21 12:22:04,0,134.197.0.150,100,154,1,2022-04-21 12:22:04,R_290sIXtoO6bcZau,,,,,39.5473,-119.7951,qr,EN,1,2,1,1,4,2,5,4,4,4,2,4,3,4,5,4,3,4,4,5,2,2,5,2,3,4354
2022-04-21 12:44:20,2022-04-21 12:46:10,0,134.197.0.150,100,110,1,2022-04-21 12:46:10,R_zU99wMYkvvl89Xz,,,,,39.5473,-119.7951,qr,EN,1,2,1,1,4,5,4,5,4,5,4,3,2,5,4,5,4,5,2,1,1,4,5,3,4,3405
2022-04-21 12:59:59,2022-04-21 13:01:48,0,134.197.0.151,100,108,1,2022-04-21 13:01:49,R_3e2ZcFIB1nr4M5r,,,,,39.5473,-119.7951,qr,EN,1,2,1,1,5,5,5,4,4,4,3,5,5,5,5,4,4,3,2,5,1,1,5,4,4,8795
2022-04-21 17:14:46,2022-04-21 17:16:15,0,134.197.0.150,100,89,1,2022-04-21 17:16:16,R_rlqCujj3TcfiQmZ,,,,,39.5473,-119.7951,qr,EN,1,2,1,1,3,5,5,5,5,5,5,5,3,3,3,4,3,5,3,2,3,3,3,3,3,1221
2022-04-21 17:14:48,2022-04-21 17:16:28,0,134.197.0.151,100,99,1,2022-04-21 17:16:28,R_3m3R0xwnF4lc2Du,,,,,39.5473,-119.7951,qr,EN,1,2,1,1,4,5,5,5,5,5,3,4,4,3,5,5,4,5,2,4,4,3,3,4,4,7475
2022-04-21 17:32:40,2022-04-21 17:34:53,0,134.197.0.151,100,133,1,2022-04-21 17:34:53,R_2dXPkI7bs0vapBc,,,,,39.5473,-119.7951,qr,EN,1,,1,1,5,4,5,5,5,4,5,5,5,5,5,5,3,5,3,5,4,3,5,4,5,9687
2022-04-22 10:09:42,2022-04-22 10:11:48,0,134.197.0.151,100,125,1,2022-04-22 10:11:48,R_XHvcQV4jmrOi9G1,,,,,39.5473,-119.7951,qr,EN,1,,1,1,4,4,4,5,4,3,4,3,3,5,5,2,4,4,3,4,4,3,4,3,3,9705
2022-04-22 10:36:20,2022-04-22 10:38:32,0,174.208.105.58,100,132,1,2022-04-22 10:38:33,R_2eXUWl3Y7sAVYbj,,,,,38.6226,-121.3885,qr,EN,1,,1,1,4,4,5,4,5,5,5,5,5,5,5,5,5,5,3,4,3,3,4,4,4,9294
2022-04-22 10:56:17,2022-04-22 10:58:19,0,134.197.0.150,100,122,1,2022-04-22 10:58:20,R_3kLAHxWNDfsUzj8,,,,,39.5473,-119.7951,qr,EN,1,2,1,1,4,4,4,4,4,4,3,4,5,3,4,3,2,4,4,4,4,4,4,3,4,8046
2022-04-22 16:09:23,2022-04-22 16:11:11,0,134.197.0.149,100,108,1,2022-04-22 16:11:12,R_1hGXqjGZ1vsiHI9,,,,,39.5473,-119.7951,qr,EN,1,,1,1,4,4,4,4,2,1,1,4,4,2,1,2,3,4,2,2,1,2,4,2,4,8811
2022-04-22 17:01:24,2022-04-22 17:04:04,0,134.197.0.151,100,159,1,2022-04-22 17:04:04,R_2TSPvxnnQZJyA4Z,,,,,39.5473,-119.7951,qr,EN,1,2,1,1,4,4,5,5,4,4,4,3,4,5,5,5,5,5,2,2,1,2,4,2,4,7226
